hex_id,computed_score,tier,hotspot,explanation,confidence
8942d98b09bffff,57.0,Low Potential,True,High population demand | Low competition advantage | Strong power infrastructure,202.9017324432
8942d98b08bffff,57.01,Low Potential,True,High population demand | Low competition advantage | Strong power infrastructure,149.95785208910002
8942d9d682fffff,56.85,Low Potential,True,High population demand | Low competition advantage | Strong power infrastructure,543.1333583712999
8942d9d6823ffff,56.84,Low Potential,True,High population demand | Low competition advantage | Strong power infrastructure,548.6820099684
8942d98b017ffff,56.97,Low Potential,True,High population demand | Low competition advantage | Strong power infrastructure,128.188730259
8942d9d68abffff,56.81,Low Potential,True,High population demand | Low competition advantage | Strong power infrastructure,561.4798497541999
8942d9d6833ffff,56.8,Low Potential,True,High population demand | Low competition advantage | Strong power infrastructure,549.8127659768
8942d9d6817ffff,56.78,Low Potential,True,High population demand | Low competition advantage | Strong power infrastructure,564.7556216544
8942d9d6b93ffff,56.78,Low Potential,True,High population demand | Low competition advantage | Strong power infrastructure,542.4425287114001
8942d9d41bbffff,56.88,Low Potential,True,High population demand | Low competition advantage | Strong power infrastructure,236.80359810769994
8942d98a64bffff,56.93,Low Potential,True,High population demand | Low competition advantage | Strong power infrastructure,78.8008286835
8942d98a07bffff,41.69,Low Potential,False,Low competition advantage | Strong power infrastructure,43.887503264399996
8942d9d6873ffff,56.75,Low Potential,True,High population demand | Low competition advantage | Strong power infrastructure,555.6595312622
8942d9d6bd3ffff,56.77,Low Potential,True,High population demand | Low competition advantage | Strong power infrastructure,513.1808342221999
8942d9d41a3ffff,56.84,Low Potential,True,High population demand | Low competition advantage | Strong power infrastructure,268.69386054449996
8942d9d6bcbffff,56.78,Low Potential,True,High population demand | Low competition advantage | Strong power infrastructure,470.6630944371999
8942d98b463ffff,56.86,Low Potential,True,High population demand | Low competition advantage | Strong power infrastructure,218.36162007469997
8942d9d6867ffff,56.75,Low Potential,True,High population demand | Low competition advantage | Strong power infrastructure,534.8157154271
8942d9d418fffff,56.85,Low Potential,True,High population demand | Low competition advantage | Strong power infrastructure,228.5368433561
8942d98b597ffff,56.89,Low Potential,True,High population demand | Low competition advantage | Strong power infrastructure,95.6957575919
8942d98a293ffff,44.66,Low Potential,False,Low competition advantage | Strong power infrastructure,49.0449131629
8942d98a04bffff,43.09,Low Potential,False,Low competition advantage | Strong power infrastructure,46.32320182989999
8942d98a667ffff,45.25,Low Potential,False,Low competition advantage | Strong power infrastructure,50.074164225
8942d9d6857ffff,56.73,Low Potential,True,High population demand | Low competition advantage | Strong power infrastructure,548.9425934502
8942d98b08fffff,56.87,Low Potential,True,High population demand | Low competition advantage | Strong power infrastructure,128.69595269209998
8942d98a297ffff,43.82,Low Potential,False,Low competition advantage | Strong power infrastructure,47.5838886643
8942d9d6863ffff,56.73,Low Potential,True,High population demand | Low competition advantage | Strong power infrastructure,543.5695853486
8942d9d681bffff,56.73,Low Potential,True,High population demand | Low competition advantage | Strong power infrastructure,558.2481288444001
8942d9d6877ffff,56.72,Low Potential,True,High population demand | Low competition advantage | Strong power infrastructure,544.7419754796
8942d98b6a3ffff,56.81,Low Potential,True,High population demand | Low competition advantage | Strong power infrastructure,272.71910190320006
8942d9d4183ffff,56.82,Low Potential,True,High population demand | Low competition advantage | Strong power infrastructure,237.4856054347
8942d98b0b3ffff,56.86,Low Potential,True,High population demand | Low competition advantage | Strong power infrastructure,127.03908935800001
8942d9d6827ffff,56.72,Low Potential,True,High population demand | Low competition advantage | Strong power infrastructure,533.8755280875
8942d9d686bffff,56.72,Low Potential,True,High population demand | Low competition advantage | Strong power infrastructure,531.4881107632
8942d9d41afffff,56.81,Low Potential,True,High population demand | Low competition advantage | Strong power infrastructure,251.35778842219997
8942d9d6837ffff,56.72,Low Potential,True,High population demand | Low competition advantage | Strong power infrastructure,534.4059793467001
8942d98a04fffff,42.48,Low Potential,False,Low competition advantage | Strong power infrastructure,45.2578435891
8942d9d6a27ffff,56.74,Low Potential,True,High population demand | Low competition advantage | Strong power infrastructure,440.40445606130004
8942d9d6807ffff,56.7,Low Potential,True,High population demand | Low competition advantage | Strong power infrastructure,564.2997262
8942d9d6803ffff,56.7,Low Potential,True,High population demand | Low competition advantage | Strong power infrastructure,557.1282374
8942d9d680bffff,56.7,Low Potential,True,High population demand | Low competition advantage | Strong power infrastructure,556.439054
8942d9d680fffff,56.7,Low Potential,True,High population demand | Low competition advantage | Strong power infrastructure,556.423932
8942d98a64fffff,56.86,Low Potential,True,High population demand | Low competition advantage | Strong power infrastructure,75.16783415519998
8942d9d683bffff,56.7,Low Potential,True,High population demand | Low competition advantage | Strong power infrastructure,552.7445599999999
8942d9d4c97ffff,56.77,Low Potential,True,High population demand | Low competition advantage | Strong power infrastructure,346.1076647842
8942d9d682bffff,56.7,Low Potential,True,High population demand | Low competition advantage | Strong power infrastructure,542.3979044
8942d9d686fffff,56.7,Low Potential,True,High population demand | Low competition advantage | Strong power infrastructure,531.6876686953
8942d98b6bbffff,56.79,Low Potential,True,High population demand | Low competition advantage | Strong power infrastructure,273.4032892336
